Song_Title,Streams,Daily,Album,Type
Highway Unicorn (Road To Love),15027662,5420,Born This Way,Non-Soundtrack Song
Hold My Hand,219818393,322675,Top Gun: Maverick (Music From The Motion Picture),Soundtrack Song
I Don't Know What Love Is,97447337,21787,A Star Is Born Soundtrack,Soundtrack Song
I Like It Rough,24408313,8231,The Fame,Non-Soundtrack Song
I'll Never Love Again - Extended Version,196271852,68719,A Star Is Born Soundtrack,Soundtrack Song
I'll Never Love Again - Film Version,321962746,117852,A Star Is Born Soundtrack,Soundtrack Song
Is That Alright?,128555597,43752,A Star Is Born Soundtrack,Soundtrack Song
Jewels N' Drugs,16541581,4265,Artpop,Non-Soundtrack Song
Joanne,77145888,17922,Joanne,Non-Soundtrack Song
Joanne (Where Do You Think You're Goin'?) - PiaNon-Soundtrack Song Version,21974013,6163,Single,Non-Soundtrack Song
John Wayne,103511575,24697,Joanne,Non-Soundtrack Song
Judas,328529772,408271,Born This Way,Non-Soundtrack Song
Judas - Chris Lake Remix,112946,36,Judas The Remixes Pt. 2,Non-Soundtrack Song
Judas - DJ White Shadow Remix,4269320,1339,Born This Way (Special Edition),Non-Soundtrack Song
Judas - Goldfrapp Remix,1672339,288,Judas,Non-Soundtrack Song
Judas - Guena LG Club Remix,319266,97,Judas,Non-Soundtrack Song
Judas - Hurts Remix,1054976,244,Judas,Non-Soundtrack Song
Judas - John Dahlback Remix,220921,29,Judas,Non-Soundtrack Song
Judas - Mirrors Une Autre Monde Mix – Jour,103960,10,Judas,Non-Soundtrack Song
Judas - Mirrors Une Autre Monde Mix – Nuit,164328,28,Judas,Non-Soundtrack Song
Judas - R3HAB Remix,1053874,612,Judas,Non-Soundtrack Song
Judas - Royksopp's European Imbecile Mix,365013,96,Judas,Non-Soundtrack Song
Judas - Thomas Gold Remix,118015,36,Single,Non-Soundtrack Song
Just ANon-Soundtrack Songther Day,26649961,4223,Joanne,Non-Soundtrack Song
Just Dance,780822271,680547,The Fame,Non-Soundtrack Song
Just Dance - Deewaan Remix,783602,140,The Remix,Non-Soundtrack Song
